director,title
Renato De Maria,The Ruthless
Pedro Coutinho,All The Reasons To Forget
"Wong Jing, Jason Kwan",Chasing the Dragon
Barak Goodman,American Experience: Ruby Ridge
Barak Goodman,Oklahoma City
Hani Hamdi,30 Days of Luxury
Khaled El Halafawy,Because We're Heading Out
Ismail Farouk,My Dog is My Guide
Moataz El Tony,My Wife and My Wifey
"Ossama Abu El Atta, Tarek Al Eryan",The Walls of the Moon
Hadi El Bagoury,Warda
Simon Verhoeven,Friend Request
Ron Oliver,Bigger Fatter Liar
Jay Chapman,Lucas Brothers: On Drugs
Alan Rickman,A Little Chaos
Hasan Karacadağ,Dabbe 6: The Return
"Dylan Haegens, Bas van Teylingen",De Film van Dylan Haegens
Ulises Valencia,Franco Escamilla: Bienvenido al mundo
Beyoncé Knowles-Carter,HOMECOMING: A film by Beyoncé
Bill D'Elia,Chris D'Elia: Incorrigible
"Jon Lucas, Scott Moore",21 & Over
Richard Curtis,About Time
Tom Shadyac,Evan Almighty
Bill Oliver,Jonathan
NA,Super Monsters Furever Friends
"Jennifer Beamish, Toby Trackman",The Creative Brain
Paul Weitz,Cirque du Freak: The Vampire's Assistant
Gabe Klinger,Porto
David Gordon Green,Manglehorn
Nagesh Kukunoor,Bollywood Calling
Suparn Verma,Ek Khiladi Ek Haseena
Vlad Yudin,Generation Iron 3
Sudhir Mishra,Hazaaron Khwaishein Aisi
Sujoy Ghosh,Jhankaar Beats
Anant Balani,Mumbai Matinee
Soukarya Ghosal,Rainbow Jelly
Leena Yadav,Shabd
Amitabha Singh,Shortcut Safari
Carly Stone,The New Romantic
Liam O'Donnell,Beyond Skyline
Bruce Gowers,Eddie Murphy: Delirious
Ron Oliver,Harriet the Spy: Blog Wars
Enrico Bisi,Numero Zero. The Roots of Italian Rap
Michael Lennox,A Patch of Fog
Detlev Buck,Bibi & Tina
Detlev Buck,Bibi & Tina II
Detlev Buck,Bibi & Tina: Girls Versus Boys
Andrea Molaioli,Slam
Kemi Adetiba,The Wedding Party
"Aaron Nee, Adam Nee",Band of Robbers
"Felix Van Groeningen, Felix van Groeningen",Belgica
"Chris Bell, Josh Alexander, Greg Young",Prescription Thugs
Werner Herzog,From One Second to the Next
Ken Barbet,Antidote
Dallas Jackson,Thriller
Sam Taylor-Johnson,Nowhere Boy
Marie Madinier,Arctic Heart
Miguel Ángel Lamata,Our Lovers
Steven Brill,Sandy Wexler
Antonio Chavarrías,The Chosen
Tiller Russell,The Seven Five
Gabriel Julien-Laferrière,We Are Family
Yeo Siew Hua,A Land Imagined
Jota Linares,Who Would You Take to a Deserted Island?
Joshua Marston,Come Sunday
Eleonore Pourriat,I Am not an Easy Man
Anthony D'Souza,Azhar
Zoe Lister-Jones,Band Aid
Mike Wiluan,Buffalo Boys
Hasan Karacadağ,Dabbe 5: Zehr-i Cin
Hasan Karacadağ,Dabbe: The Possession
NA,Francesco De Carlo: Cose di Questo Mondo
Ayush Raina,Horror Story
Chris Nelson,The Perfect Date
Peter Webber,Pickpockets
Antonio Serrano,Macho
Raphael Erichsen,Radical: the Controversial Saga of Dada Figueiredo
Leslie Small,Kevin Hart: What Now?
Michael Kennedy,#Roxy
Fernando Ayllón,Liss Pereira: Reteniendo líquidos
John R. Leonetti,The Silence
Peter Orton,Greg Davies: You Magnificent Beast
"Grant S. Johnson, Ippsie Jones",Frat Star
Shravan Kumar,706
Julien Christian Lutz,Across The Line
Nick Davis,American Masters: Ted Williams
Jason Winer,Arthur
Gregory Hoblit,Fracture
Peter Segal,Get Smart
Huang Jianming,Hedgehogs
Laura VanZee Taylor,I Am Maris
Gerry Hoban,Jesus: Countdown to Calvary
Tianyu Zhao,Love O2O
Richard LaGravenese,P.S. I Love You
Mark Palansky,Penelope
Shazia Ali Khan,Pinky Memsaab
Guy Ritchie,Sherlock Holmes
Robert Rodriguez,Spy Kids
Robert Rodriguez,Spy Kids 3: Game Over
Stacy Title,The Bye Bye Man
Manish Jha,The Legend of Michael Mishra
Erik White,The Trap
"Ben Brewer, Alex Brewer",The Trust
Victoria Bromley,The World's Most Wanted Animal
Philip G. Atwell,War
Padmakumar Narasimhamurthy,A Billion Colour Story
Stephen Gyllenhaal,A Dangerous Woman
Diego Lerman,A Sort of Family
Don Bluth,An American Tail
"Phil Nibbelink, Simon Wells",An American Tail: Fievel Goes West
Larry Latham,An American Tail: The Mystery of the Night Monster
Larry Latham,An American Tail: The Treasures of Manhattan Island
Simon Wells,Balto
Phil Weinstein,Balto 2: Wolf Quest
Phil Weinstein,Balto 3: Wings of Change
Rajkumar Santoshi,Barsaat
Kaspar Astrup Schröder,Big Time
Priyadarshan,Billu
Gregory Hoblit,Class of '61
Gary David Goldberg,Dad
Raj Amit Kumar,Dagh Ujala
NA,Dare to Be Wild
Kundan Shah,Dil Hai Tumhaara
NA,Ethirmarai
Keith Malloy,Fishpeople
Nanette Burstein,Gringo: The Dangerous Life of John McAfee
Jocelyn Moorhouse,How to Make an American Quilt
Luca Vullo,Influx
Ryan Polito,John Mulaney: New in Town
Kundan Shah,Kya Kehna
Jared Cohn,Locked Up
Farah Khan,Main Hoon Na
Tathagata Banerjee,Mandobasar Galpo
Ananda Krishnan,Metro
Farah Khan,Om Shanti Om
Amol Palekar,Paheli
Aziz Mirza,Phir Bhi Dil Hai Hindustani
Kookie V. Gulati,Prince
Atanu Mukherjee,Rukh
Nagraj Manjule,Sairat
Steven Spielberg,Schindler's List
Billy Ray,Secret in Their Eyes
Esteban Sapir,The Aerial
Saul Dibb,The Duchess
Stephen Amezdroz,The Search for Life in Space
Benedict Andrews,Una
Sushrut Jain,Beyond All Boundaries
Gayane Petrosyan,Born to Be Free
Shivendra Singh Dungarpur,Celluloid Man
Alexandre Reinecke,Couples Counseling
Philipp Eichholtz,Dancing Quietly
Jamal Hill,Deuces
Daniel Gordon,Don't Look Down
K. Ramanlal,Elaan
Maris Curran,Five Nights in Maine
John Edginton,Joe Cocker: Mad Dog with Soul
Avinash Arun,Killa
Ed Gass-Donnelly,Lavender
Jason Spingarn-Koff,Life 2.0
A. Salaam,Salaakhen
Jason Cohen,Silicon Cowboys
Eduardo Casanova,Skins
"Keith Fulton, Louis Pepe",The Bad Kids
Rudradeep Bhattacharjee,The Human Factor: The Untold Story of the Bombay Film Orchestras
Daniel Burman,The Tenth Man
Kike Maíllo,Toro
G.J. Echternkamp,Frank and Cindy
G.J. Echternkamp,Frank and Cindy
Zatella Beatty,Iverson
Vlad Yudin,Jeremy Scott: The People's Designer
NA,Little Baby Bum: Nursery Rhyme Friends
